English,Meaning
non-fat,обезжиренное
dunhill,Dunhill
zag,заг
glob,Glob
selflessness,самоотверженность
gotto,должен
gardenias,гардении
regenerating,регенерирующий
hansson,Хансон
manassas,Manassas
soonest,скорейшее
mortifying,оскорбительный
castel,Кастель
warfield,Варфилд
shinpei,Shinpei
bird-watching,наблюдение за птицами
despot,деспот
achy,больной
shadowhunters,охотники за тенью
lopevi,Лопеви
hubcaps,колпаки
gimbert,Gimbert
darwinian,дарвинистский
babban,babban
baldie,baldie
massoud,Масуд
aggressors,агрессоры
depictions,живописания
floren,Floren
norbit,Norbit
ursus,Ursus
imposters,самозванцы
angad,Angad
inorganic,неорганический
erogenous,эрогенный
collectible,предмет коллекционирования
loos,Лоос
kyeongseong,kyeongseong
snored,храпел
hoc,специальная
hookah,кальян
globetrotters,Globetrotters
frere,Фрер
wegener,Вегенер
tengu,тэнгу
unsustainable,неустойчивый
avast,стой
blarney,лесть
housemates,жильцы дома
bootie,франт
pusan,Пусане
santy,Санти
bana,бана
sherpas,шерпы
cigs,CIGS
sala,сала
chronicler,летописец
nagel,Nagel
domini,Domini
irregularity,неправильность
battersea,Баттерси
downturn,спад
knell,предвещать
tajima,Tajima
supermen,супермены
alak,Alak
thay,Тэй
gallstones,камни в желчном пузыре
2a,2а
radiators,радиаторы
telephoto,телефотографический
nanjo,Нанджо
transcended,выходит за рамки
milburn,Милберн
omnipresent,вездесущий
yello,Yello
elgar,Элгар
blockheads,болваны
pyare,pyare
staffing,штатное расписание
nicolette,Николетт
reliably,надежно
backto,вернуться к
cuteness,остроумие
vladimirovich,владимирович
yokoyama,Ёкояма
smarmy,вкрадчивый
implausible,неправдоподобно
distinguishes,отличает
resourcefulness,находчивость
cuatro,куатро
iooked,iooked
spivey,Спайвей
nava,нава
brest,Брестский
intensifying,усиление
seacrest,гребень волны
misadventure,несчастный случай
sot,квасить
purist,пурист
catapults,катапульты
gaussian,гауссово
chichi,претенциозность
masato,Масато
youngblood,Янгблад
salient,выступ
since,поскольку
songyang,Songyang
bernardes,Bernardes
jonjo,Jonjo
anais,Anais
living-room,гостиная
parsa,Парса
herbalife,Гербалайф
zita,Зита
flue,дымоход
kranz,Кранц
amantha,amantha
smoothing,сглаживающий
beeplng,beeplng
beefcake,красавец-мужчина
carbonara,карбонара
zloty,злотый
regenerated,регенерировать
brainwaves,мозговые волны
gerty,Герти
madcap,сумасброд
agora,агора
priss,Priss
honnold,Хоннолд
dhanraj,Dhanraj
open-heart,открытое сердце
broome,Брум
double-crosser,обманщик
thundercats,ThunderCats
impulsively,импульсивно
basia,Бася
majorly,главно
bogotá,Богота
himanshu,Himanshu
kow,Ков
wmd,ВРС
aberrant,отклоняющийся
kibby,Kibby
outlining,оконтуривание
ignasi,Ignasi
facials,маски для лица
plonk,дешевое вино
five-mile,пять миль
phrased,Выражаясь
liberators,освободителям
vassily,Базиль
suffrage,избирательное право
deepens,углубляется
mantrid,Мантрид
skivvies,мужское нижнее белье
scotches,Скотчи
betwixt,между
ragnarok,Рагнарок
exhibitionist,эксгибиционист
napster,Napster
unhelpful,бесполезный
delle,делле
sotheby,Сотби
la-la-la-la-la,Ла-ла-ла-ла-ла
harmonium,фисгармония
grandstanding,показных
brack,сквозная трещина
reeked,несло
prospectors,старатели
mountaineering,альпинизм
anglais,Английский рожок
mim,мим
emitters,излучатели
paradine,paradine
kean,Кина
pershing,Pershing
uly,улы
antagonistic,антагонистический
fundamentalists,фундаменталисты
ruthlessness,беспощадность
tweek,Твик
saskatchewan,Саскачеван
brewers,пивоваров
reaped,пожинали
insinuated,инсинуировал
by-election,довыборы
gaynor,Гейнор
wilk,Wilk
ridiculing,осмеяние
cobweb,паутина
ribcage,грудная клетка
nitwits,придуркам
preconceived,предвзятый
self-awareness,самоосознание
dutta,Датта
cannonballs,пушечные ядра
lightfoot,легконогий
pre-nup,брачный
corning,гранулирование
algy,Алджи
apprehending,поимке
yo-ho,йо-хо
imelda,Имельда
migrations,миграции
bicarb,питьевая сода
webbing,тесьма
barristers,барристерами
mombasa,Момбаса
foul-mouthed,сквернословящий
saleem,Салим
bhangra,бхангра
sahir,Sahir
busses,автобусы
charing,Чаринг
inbreeding,инбридинг
a.g.,А.Г.
marie-louise,Marie-Louise
takechi,Такэти
v-8,V-8
office-,офис-
okeydoke,okeydoke
dorfman,Дорфман
parkour,паркур
imprints,отпечатки
fujimoto,Фудзимото
tollbooth,городская тюрьма
bedpans,подкладны
trawling,траление
braced,подкосного
horse-drawn,на конной тяге
janki,Janki
rockland,Rockland
macaulay,Маколей
exchequer,казначейство
yeshiva,ешивы
pornographer,распространитель порнографии
anjin-san,Анджин-Сан -
fondled,ласкал
thoughtfully,глубокомысленно
fierro,Fierro
tomoe,Томоэ
heeded,вняли
unrestrained,несдержанный
cardiomyopathy,кардиомиопатия
ant-man,человек-муравей
if--if,если если
sponging,образование вязкого пенистого шлака
ajusshi,ajusshi
goddamit,goddamit
paltrow,Пэлтроу
eggheads,умники
bromide,бромид
klinkerhoffen,klinkerhoffen
baggies,мешочки
tight-lipped,скрытный
abra,Abra
39th,тридцать девятая
linkage,связь
koen,Koen
colum,Колум
someth,someth
cinzia,Синтия
branwell,Branwell
saigo,Сайго
gis,ГИС
reappears,Повторяется
replaying,Воспроизведение
wilfrid,Уилфред
philosophically,философски
candidly,чистосердечно
fraternities,братств
neetu,Neetu
freeloaders,халявщиков
uncommonly,необыкновенно
tac,нолики
reciprocated,возвратно-поступательное движение
ug,UG
cop-out,отговоркой
tupper,Таппер
bruckner,Брукнер
fusing,фьюзинг
charon,Харон
garden-variety,сад-разнообразие
woodford,Woodford
dance-off,танец-офф
monger,торговец
hyun-ji,Хен-дзи
bludgeon,дубинка
lait,лайт
fizzing,шипение
btw,Кстати
raga,рага
chlorophyll,хлорофилл
five-,5-
aswell,также
prefectural,префектурный
ony,оны
revolts,бунты
waxy,восковой
stiffy,Stiffy
kersey,брюки из домотканого сукна
white-haired,белоголовый
kooks,чудаки
ofjustice,ofjustice
snuggling,прижимаясь
cracow,краков
slippin,Slippin
pfff,пффф
hovered,парили
pillai,Пиллаи
flavoured,ароматный
tele,телевизионный
sauvage,Sauvage
bulldoze,принуждать
gordana,Гордана
individualism,индивидуализм
chale,Chale
brayden,Brayden
massager,массажеры
lorde,Lorde
editorials,редакционные
tassel,кисточка
robbo,Robbo
mind-set,склад ума
rumbled,грохотали
quel,кель
crash-landed,совершил аварийную посадку
catarina,Катарина
flasher,мигалкой
amass,Amass
imploded,интегрировалась
timeframe,период времени
5-star,5 звезд
ranbir,Ранбир
jalapeno,халапеньо
sportscaster,спортивный комментатор
zarek,Zarek
condon,Кондон
jiggly,пикантного
maca,маки
tolerates,терпит
sniffle,сопеть
cassiopeia,Кассиопея
corneas,роговица
hanji,Hanji
varner,Варнер
galicia,Галиция
forints,форинтов
siggy,Siggy
ashish,Ashish
raben,Raben
avant,авангард
goners,доходяги
assassinating,убийство
viju,viju
portwenn,portwenn
klimt,Климт
jedediah,Джедедия
microns,микрон
vodkas,водки
buffett,Баффетт
ah,ах
folksy,народный
changin,Changin
marce,Marce
omelettes,омлеты
cutesy,жеманный
minimalist,минималист
oryou,или ты
honeydew,нектар
madhavan,Madhavan
keppel,Keppel
surrealism,сюрреализм
champollion,Шампольон
peterman,взломщик сейфов
metaphysics,метафизика
ishtar,Иштар
burak,Бурак
lock-in,замкнутость
dowdy,безвкусный
shostakovich,Шостакович
unease,беспокойство
tyrion,Тирион
conferring,наделение
veena,Veena
fuhrman,Фурман
hey-ho,Хей-хо
ajin,Ajin
play-acting,притворство
koe,кое-
archivist,архивариус
wilmer,Вилмер
bluish,голубоватый
bmx,ВМХ
taters,Taters
dirtbags,Dirtbags
alway,все дни
blithe,беспечный
modi,модусы
crochet,вязание крючком
44th,сорок четвёртом
hairstyles,причесок
dormitories,общежития
razia,Razia
wracked,разрушенный
selleck,Селлек
giordino,Джордино
bittoo,Bittoo
mobilise,мобилизовать
day-old,дневного возраста
victini,victini
wheaties,Wheaties
inari,инари
dibble,ямкоделатель
eroding,размыв
kovach,Ковач
joaquín,Хоакин
kombat,Комбат
kirsch,кирш
sahiba,Сахиба
alsatian,эльзасский
animus,предубеждение
marquess,маркиз
rigoletto,Риголетто
fronted,фасад
c.d.,компакт диск.
sparkler,бенгальский огонь
sem,семафор
khalifa,халиф
honoré,Оноре
capote,капот
facetime,FaceTime
crozier,Крозье
dessie,Dessie
noogie,noogie
highbrow,интеллектуал
twosome,тет-а-тет
step-father,отчим
grindr,Grindr
drooping,изнеможенный
stonewalling,оппозиция
okamoto,Окамото
spurious,поддельный
revelry,попойка
nihaal,nihaal
wheeljack,Wheeljack
onyx,оникс
v12,v12
appy,Апи
safa,сафа
glub,Glub
bru,BRU
koalas,коалы
emergent,выходящий
bish,биш
liveth,Живущему
nyx,Никс
deadlier,смертельнее
longhorn,дровосеков
airspeed,воздушная скорость
theyjust,они только
friendliest,дружелюбных
kenshiro,Кенсиро
vonda,Vonda
ncic,NCIC
birger,Биргер
beeline,прямая линия
tumult,буйство
peaky,остроконечный
rathod,rathod
eagleton,Иглетон
dixieland,тип джаза
cesium,цезий
stoick,Stoick
douchebags,Douchebags
fixer-upper,верхний фиксатор
shindou,Синдо
minecraft,Шахтерское ремесло
jellies,студни
lawmakers,законодатели
tailings,хвосты
fernandes,Fernandes
pathologists,патологи
toge,Toge
darting,стремительный
selwyn,Selwyn
second-,второй-
cin,CIN
week-end,выходные дни
dependant,зависимый
wiry,проволочный
subclavian,подключичный
mcd,мкд
defaced,испорчен
aizawa,Аидзава
belly-up,вверх брюхом
dente,денте
venerated,почитается
snags,коряги
gorges,ущелья
bellagio,Bellagio
shorting,короткое замыкание
jedikiah,jedikiah
darkies,негры
asexual,бесполый
barbecuing,Barbecuing
cross-dressing,кросс-обогатительный
dooby,Dooby
hollows,выбоины
saucepan,кастрюля
estes,Эстес
kingly,царственный
precede,предшествуют
jogged,трусцой
choon,Choon
conan-kun,конан-кун
absorbent,абсорбирующий
invests,инвестирует
marly,мергелистый
checkups,медосмотры
greasing,смазывание
murari,Murari
cuervo,Cuervo
mucous,слизистый
spreadsheets,электронные таблицы
danko,Данко
ribbentrop,Риббентроп
detainment,задержание
lichen,лишай
mangle,калечить
eun-soo,Ын-Су
moneylender,ростовщик
pose,поза
ious,IOUs
thais,тайцы
ass-hole,Мудак
bounded,ограниченная
nimbus,нимб
treme,Treme
planters,цветочные горшки
layne,Layne
kir,кир
algo,алго
segawa,Segawa
valise,саквояж
harmonize,гармонизующих
wiggum,Wiggum
orale,Orale
satanist,сатанист
aglow,возбужденный
dacha,дача
m4,m4
gestation,беременность
evicting,выселяющий
cancellations,Аннулирование
nima,Нима
deaf-mute,глухонемой
valente,Валента
nondescript,невзрачный
balle,Баль
pammi,pammi
lambeth,Lambeth
spiny,колючий
contrite,кающийся
quash,QUASH
bobble,качающийся
bighorn,большой рог
coddled,изнеженных
messala,Messala
baran,Баран
no-no-no-no,нет нет Нет Нет
lisping,сигматизм
quesadilla,Кесадилья
oozes,илы
sacs,мешочки
plying,курсирующих
rajjo,rajjo
starves,голодает
temujin,Темучин
domicile,домицилий
four-eyed,четыре глаза
thoroughfare,проезд
vil,Виль
compadres,Compadres
kido,Kido
tottenham,Tottenham
anythin,хоть что
gilchrist,Гилкрист
miscavige,Miscavige
mestre,местре
opulent,пышный
pitter-patter,постукивать
stache,усы
hanadarko,hanadarko
youd,Youd
straddle,двойственная политика
stoning,облицовывать
whrt,whrt
speculators,спекулянты
razer,Razer
pattie,Патти
trellis,шпалера
jtp,JTP
nari,Нари
solidly,твердо
quai,Quai
belker,belker
synthetics,синтетика
youngpo,youngpo
kusanagi,Кусанаги
gyul,Гюль
gobs,уйма
wristbands,напульсники
houseguests,houseguests
starched,накрахмаленные
unsullied,незапятнанный
lve,LVE
fire-breathing,огнедышащий
proliferation,пролиферация
earlobes,мочки
off.,выключенный.
weenies,weenies
gamby,gamby
oto,OTO
grégoire,Грегуар
predates,предшествующие
rebecka,Rebecka
sherm,Sherm
janitorial,дворников
melton,мельтон
grabby,Grabby
monologues,монологи
sugu,Сугу
asphyxia,асфиксия
anglo,англо
muskrat,ондатра
emphasise,подчеркивать
tincture,настойка
capa,плащ с капюшоном
loup,Loup
pere,Перо
high-maintenance,высокое техническое обслуживание
front-runner,наиболее вероятный претендент
away.,далеко.
baumann,Baumann
belittled,Униженный
rino,Рино
poorhouse,богадельня
augmented,дополненной
cersei,Cersei
bandra,Bandra
gruelling,изнурительный
passé,passé
wickets,калитки
20-something,20 с чем-то
doktor,Doktor
agonies,агония
psychically,психически
additive,присадка
overton,Овертон
snoot,третировать
overacting,переигрывает
newsworthy,заслуживает освещения в печати
watchdogs,сторожевые собаки
olsson,Ольссон
up-and-up,вверх и вверх
madelyn,Мэделин
time-travel,путешествие во времени
twiddle,вертеть
gath,Гаф
wawa,Вава
lohengrin,Лоэнгрин
zpm,ZPM
aba,аба
tadd,Тэдд
probert,Проберт
s0,s0
lοοk,lοοk
vetoed,ветировал
i.e.d.,i.e.d.
zezé,Zeze
decorators,декораторов
endeavours,стремится
rhymed,рифмованный
mn,Миннесота
sone,Сона
troels,Troels
parochial,приходский
maples,клены
kettles,чайники
neeson,Нисон
carting,перевозка
injectors,инжекторы
nri,NRI
verena,Верена
lancia,Лянча
harps,арфы
tibetans,тибетцы
lucerne,люцерна
applegate,Эпплгейт
questionnaires,опросники
singe,опаляться
diagnoses,диагнозы
dic,DIC
principally,главным образом
vespasian,Веспасиан
leathery,кожистые
kardashians,Kardashians
crimean,крымский
premieres,премьеры
casks,бочки
onii-chan,онии-чан
recitation,декламация
amtrak,Амтрак
cry-baby,Плакса
álvaro,Álvaro
discernible,различимый
geishas,гейш
wpc,WPC
orchestration,оркестровка
graciela,Graciela
croon,напевать
21st-century,21-й век
bloomberg,Блумберг
ehi,EHI
women-,женщины-
addis,Addis
anny,Anny
discus,метание диска
tightest,сжатые
squiggly,деформированный
vyvyan,Vyvyan
clotted,свернувшийся
alley-oop,аллея-уп
butterball,Butterball
lewicki,Льюики
flotsam,обломки кораблекрушения
carissa,Карисса
fidget,непоседа
transcendence,превосходство
kernels,ядра
safehouse,SafeHouse
brophy,Брофи
whitworth,Витворт
chucks,патроны
gopala,Гопал
gianluca,Джанлука
resetting,сброс
shuster,Шустера
problema,проблема-
ulster,пальто свободного покроя
sous-chef,су-шеф
reason-,причина-
spinoza,Спиноза
perspiring,потные
knud,Кнуд
skewered,вертеле
hakuna,Акуна
teletype,телетайп
rondo,рондо
amassing,накапливая
gibb,Гибб
snot-nosed,сопли нос
ourjob,ourjob
shropshire,Шропшир
n-word,п-слово
tommorow,Завтра
ranching,скотоводство
geranium,герань
doo-doo-doo-doo,ду-ду-ду-ду
zis,ЗИС
jonno,Jonno
t-,t-
kisaragi,Kisaragi
username,имя пользователя
brom,Бром
yod,йод
flinching,дрогнув
sen.,сен.
young-hoon,молодой-хун
noirish,noirish
lemming,лемминг
pigskin,бурдюк
alloys,сплавы
neath,Нит
sloop,шлюп
six-hour,шестичасовой
constrictor,констриктор
despairing,отчаявшийся
kagome,кагоме
reuse,повторное использование
frenchies,французы
yana,яна
shrewsbury,Шрусбери
lyell,лайелл
mccrae,Маккрэ
keng,гэн
schmitt,Шмитта
chandru,Чандру
speckled,пестрый
low-tech,несложный
miscreants,злодеи
incandescent,раскаленный
havel,Гавел
tulsi,талси
do-gooders,благодетелей
indulgences,индульгенции
wu-tang,Wu Tang
rinsed,ополаскивают
shapeshifter,оборотень
colley,Колли
prideful,ликующий
participates,участвует
hagrid,Хагрид
situ,Ситу
seurat,Сера
evoked,Вызванные
six-inch,шесть дюймов
blore,Blore
bizarrely,причудливо
karna,карна
shearing,сдвиг
johnathan,Johnathan
piak,Piak
chernov,Черновым
waterford,Waterford
g-force,г-сила
mosfilm,Мосфильм
supermax,Supermax
amparo,ампаро
nightstick,"дубинка, которой полицейский вооружен ночью"
hofer,Хофер
true-,истинный-
tramping,тремпинг
bayard,Баярд
argit,argit
light-skinned,светлокожий
sevilla,Севилья
ﬁnd,фи-й
freighters,грузовые
cosplay,косплей
versatility,многосторонность
jammy,Джемми
warblers,славки
venetians,венецианцы
world-wide,по всему миру
a-comin,а-пуща
huron,Huron
roti,роти
johnstone,Джонстон
lnternet,lnternet
sofi,Sofi
r.e.m.,R.e.m.
belden,Belden
stiffen,Жестче
no-name,без имени
pujol,Пуйоль
soft-hearted,мягкосердечный
contrasts,контрасты
me.i,me.i
buckman,Бекман
tuo,Туо
govt.,правительство.
woodlands,редколесья
herbivores,травоядные
ingestion,прием пищи
displace,вытеснять
forsyth,Форсайт
annexed,прилагаемые к ней
egoist,эгоист
priam,Приам
flanked,Фланкировано
adulteress,прелюбодейка
disconnecting,разъединяющий
gawk,простак
matsushima,Matsushima
luan,Луан
sharat,Шарат
thorgy,thorgy
wouidn,wouidn
onscreen,на экране
pyrotechnics,пиротехника
safeguarding,охрана
amenhotep,Аменхотеп
fixable,поправимо
tamiya,Tamiya
mercado,Меркадо
capillaries,капилляры
chocolat,Chocolat
hamm,Hamm
meer,Meer
incantations,заговоры
agnese,Агнесе
congenial,конгениальный
bip,бип
patently,очевидно
doot,Doot
lozano,Лозано
alack,отсутствие
behaviours,поведения
haves,имущими
kozue,Kozue
tesoro,Tesoro
tsukamoto,Цукамото
kamla,Kamla
miliband,Милибэнд
bolingbroke,Болингброк
reacquainted,reacquainted
mightily,сильно
fayeed,fayeed
allegro,аллегро
g.g.,G.G.
heebie-jeebies,нервное возбуждение
slicer,ломтерезки
a.k.,А.К.
re-evaluate,переоценивать
burbs,Burbs
scrapings,мездра
ambushes,засады
ensue,вытекать
hacer,Hacer
prendergast,Прендергаст
bowlers,котелки
amnesiac,страдающий амнезией
garwood,Гарвуд
londoners,лондонцы
1a,1a
no-o-o,нет-о-о
marsten,Марстен
aligning,выравнивание
dhabi,даби
mores,нравы
modular,модульная
tremblay,Трамбле
ons,дополнения
flinched,вздрогнули
searchlight,прожектор
pliable,гибкий
condense,конденсироваться
anthropological,антропологический
prudhoe,Прадхоу
bromance,броманс
step-by-step,шаг за шагом
shamu,Шам
tinsley,Тинсли
chromium,хром
hunh,hunh
figurative,изобразительный
derbyshire,дербишир
soriano,Сориано
tarragon,эстрагон
taran,таран
lce,LCE
crackpots,психи
bad.,плохой.
poontang,poontang
predictive,прогностическое
budderball,budderball
resonant,резонирующий
transistors,транзисторы
belleville,тарельчатые
seashell,морская ракушка
sfpd,SFPD
forthem,для них
asuna,Асуна
peaking,пиковая
rickard,Рикард
naivety,наивность
carleton,Карлтон
duality,двойственность
louganis,Луганис
all-inclusive,все включено
hydroponic,гидропонный
didnae,didnae
find-,найти-
nastier,противней
spaceport,космодром
blazers,блейзеры
fauntleroy,Fauntleroy
condoning,попустительство
onassis,Онассис
secretion,секреция
whelp,детеныш
deathtrap,смертельная ловушка
shoplift,кража из магазина
searchlights,прожекторы
duras,Дюрас
constraint,ограничение
berate,журят
debauched,развращенный
toon,красное дерево
butane,бутан
grief-stricken,горе
nebuchadnezzar,Навуходоносор
yuwen,Юйвэнь
townshend,Таунсенд
polytechnic,политехнический
archenemy,заклятый враг
reorganization,реорганизации
chartreuse,картезианский монастырь
qt,кварты
entomologist,энтомолог
fudd,фадд
annuity,аннуитет
airbrush,распылитель краски
prohibiting,воспрещающий
reelected,переизбрали
classier,классным
blacksmiths,кузнецы
vinton,Винтон
plod,тащиться
kojiro,Кодзиро
scathing,уничтожающий
starfighter,Starfighter
caballero,кабальеро
centrifugal,центробежный
nightmarish,кошмарный
ngai,Нгаи
frothy,пенистый
night-vision,ночное видение
instrumentation,измерительные приборы
sectioned,секционного
unreadable,нечитаемый
re-up,повторно вверх
nagato,Нагато
abberline,Abberline
tej,тедж
0th,0th
he-yump,он-yump
yolo,Yolo
lamented,оплакиваемый
allot,наделите
purty,purty
face-lift,подтяжки лица
pertain,относиться
bedpost,столбик кровати
fixit,почини это
anyway-,в любом случае-
entertains,развлекает
woefully,удручающе
menthe,мент
debussy,Дебюсси
canker,стоматит
widdle,widdle
affable,приветливый
morell,Морелл
mervyn,Мервин
pickford,Пикфорд
wickedly,беззаконно
krav,крав
fullerton,Фуллертон
kintaro,Кинтаро
sru,SRU
bladders,мочевой пузырь
witten,Виттен
dh,дк
nen,нен
slitting,продольная резка
yahweh,Яхве
machiavellian,бессовестный
bestows,Дарует
chapin,Чэпин
roofied,roofied
p.k.,P.K.
oversleep,проспать
backstrom,Бакстрём
dredged,углубленный
footballs,футбольные мячи
bellyaching,bellyaching
costumed,костюмированный
panes,стекла
zandt,Зандт
nid,нидь
wads,пыжи
and.,и.
self-image,собственный воображаемый образ
amano,Амано
sommer,Sommer
conceiving,зачатие
misspoke,оговорился
haemorrhaging,кровоизлияний
dressy,разодетый
oyabun,оябун
instigating,подстрекающий
out-of-date,устаревший
waterhole,водопоя
evaporating,выпаривание
vibrato,вибрато
kerim,Керим
efficacy,эффективность
palomares,Паломарес
pilaf,плов
oooo,оооо
spore,спор
flavio,Флавио
sakina,Sakina
rote,наизусть
yuta,ЮТА
gift-wrapped,подарочная упаковка
top-level,высший уровень
leafs,Лифс
bloodsucking,кровососущий
tso,цо
swirly,Swirly
imai,Имаи
whatare,что
goodson,хороший сын
grandparent,бабушка или дедушка
jeffords,Джеффордс
manicures,маникюр
shipbuilding,судостроение
cellmates,сокамерники
boyar,боярин
saleh,Салех
escalators,эскалаторы
mab,МАБ
lippy,болтливый
work.,работай.
prayin,Prayin
kaminsky,Каминский
eastenders,EastEnders
pissarro,Писсарро
goi,гои
manhandled,движение вручную
ilaria,Илария
parsnip,пастернак
thermometers,термометры
harbours,гаваней
nicklas,Никлас
hidalgo,идальго
rhib,RHIB
puritanical,пуританский
brumby,необъезженная лошадь
vlog,видеоблога
suffocates,задыхается
dandridge,Дэнбридж
angiogram,ангиограмма
strapless,без бретелек
xl,х
icc,МЦХ
zosia,Зося
defrauded,обманутый
kojirou,kojirou
rupali,Rupali
simón,Simón
thompkins,Томпкинс
neighbourhoods,окрестности
wobbles,качается
crisscross,крест-накрест
ner,нер
phelan,Фелан
legacies,наследия
a-game,игра
rosaria,Rosaria
dear.,Уважаемый.
pixy,фея
duque,Дуке
wog,воговского
luminol,люминола
tics,тики
fscy115,fscy115
racehorses,скакуны
arlena,Arlena
benvolio,Бенволио
overshot,овершот
herders,пастухи
needto,нужно
minuscule,минускул
deviants,извращенцы
blah-blah,болтать чепуху
disheveled,взъерошенный
eradication,искоренение
golding,Голдинг
oftime,времени
rapido,Rapido
vere,Веры
yasha,Яша
tumbles,рушится
swarthy,смуглый
gorgonzola,горгонзола
aiyo,Aiyo
barreling,галтовки
jean-philippe,Жан-Филипп
whateveryou,"все, что вы"
keeled,завалился
b-,b-
dribbles,дриблинг
spittin,плевать
climatic,климатический
gumshoe,сыщик
aphasia,афазия
paunch,брюшко
resided,прожившие
greely,Грили
bagger,землечерпалка
wasim,Wasim
reve,Reve
yang-sun,янь-вс
sohn,Sohn
squelch,шумоподавление
susu,ЮУрГУ
bungling,головотяпство
impressionism,импрессионизм
kazu,Кадзу
conk,носище
hahahaha,Хахаха
freak-out,урод
fagan,Фейган
cézanne,Сезанн
ard,Ард
excellently,превосходно
rosalinda,Розалинда
microorganisms,микроорганизмы
prompter,суфлер
check-out,проверить
amex,AMEX
abbreviation,Сокращенное название
time,время
cancan,Банка может
torvald,Торвальд
accountancy,бухгалтерский учет
raindrop,капля дождя
phonebook,телефонная книга
loofah,люфа
studebaker,Studebaker
exude,проступать
boink,Boink
neuter,бесполый
gizzard,глотка
pelosi,Пелоси
lafite,Лафит
mur,мур
widmore,Widmore
mid-term,Среднесрочный
revisited,вновь
hrt,хрит
holl,Holl
emre,Эмре
omnibus,омнибус
exhilaration,веселость
kleptomaniac,клептоман
chomps,чавкает
week-,неделя-
alkaline,щелочной
card-carrying,ярого
torrey,Торри
anabel,Анабель
lieber,Либер
sawaki,Саваки
scopolamine,скополамин
osten,Остен
broncos,мустангов
categorize,Categorize
neurotoxin,нейротоксин
oddity,странность
ashwini,Ashwini
stuckey,Стаки
darian,Darian
overthrowing,свержение
kif,киф
jogs,пробежки
six-figure,шестизначный
milla,Milla
boastful,хвастливый
swatches,образчики
hojo,Ходжо
lothar,Лотар
artois,Artois
bex,BEx
kannan,Kannan
ofwhat,которого
bhaiyya,bhaiyya
vincey,Vincey
yugoslavian,югославский
synopsis,конспект
depots,склады
spassky,Спасский
jain,Jain
transpo,Transpo
maleficent,вредный
extraneous,посторонний
diogo,Диого
royston,Ройстон
augment,Augment
54th,пятьдесят четвёртая
repatriation,репатриация
overtures,увертюры
phoenician,финикийский
blighted,гниль
repopulate,населить
flyboy,летчик
morin,морин
sign-in,войти
heitor,Эйтор
one-two-three,раз два три
probative,доказательный
mughal,Моголов
friendliness,дружелюбие
weems,Weems
toti,Toti
sugita,Сугита
zarkon,Zarkon
lesbos,Лесбос
kingsbridge,Kingsbridge
person-,человек-
dyle,Диль
interlocking,блокировка
resound,отзвуком
gagnon,Gagnon
timepiece,хронометр
oppressing,гнетущий
fairgrounds,ЦВК
tiers,ярусы
thattaboy,thattaboy
scalpels,скальпели
neo-nazi,неонацист
wrongdoings,проступки
hayek,Хайек
trang,Транг
stashing,припрятать
aarav,aarav
lucci,лучче
torquay,Torquay
groat,ничтожная сумма
charo,Чаро
glazing,остекление
lodi,лоди
zany,недотепа
tuft,хохолок
mulling,обдумывают
poldi,Польди
preparedness,готовность
water-,вода-
feli,Фели
bootlegging,бутлегерство
elysium,элизиум
knowthe,знать
grosvenor,Grosvenor
m-16,м-16
bullfrog,лягушка-бык
tinge,оттенок
neruda,Неруда
heared,услышаны
fuckwit,fuckwit
shizuo,Шизуо
dmz,ДМЗ
inspite,несмотря
olmedo,Ольмедо
compactor,уплотнитель
menzies,Мензис
voicemails,голосовые сообщения
yarmulke,ермолка
oom,оот
uriah,Урия
beachhead,береговой плацдарм
10-foot,10 футов
myung-wol,Myung-WOL
touma,Тоумы
insofar,поскольку
h-hello,ч-привет
dodson,Додсон
gdp,ВВП
genaro,Хенаро
xiaoyi,Xiaoyi
life-and-death,жизнь и смерть
licences,лицензии
steamers,пароходы
subjecting,подвергая
artworks,Картины художника
scheherazade,Шехерезада
asu,асу
azaleas,азалий
interrogators,следователи
overthrew,свергла
motherboard,материнская плата
flim,Флим
thawing,оттаивание
box-office,Театральная касса
nerv,NERV
yesterdays,вчера
jesu,Jesu
leant,прислонившись
jellicle,jellicle
creel,корзина для рыбы
moneypenny,Монеипенни
broiled,печеной
unknowable,непостижимый
malawi,Малави
zoological,зоологический
lechery,разврат
prominently,заметно
lamentable,плачевный
maksim,максим
lawyering,адвокатская практика
suga,Suga
contemptuous,презрительный
colter,кольтер
brother.,брат.
mariska,Маришка
morning-after,на следующее утро
arvo,Арво
splattering,разбрызгивание
bayram,байрам
earth-shattering,поразительный
babysat,нянчиться
beatnik,битник
line-,линия-
nowyou,теперь ваша очередь
modigliani,Модильяни
deformities,уродства
napoleonic,наполеоновский
gallup,Gallup
arav,Арав
tantalising,мучающий
heartaches,боли в сердце
dispossessed,обездоленные
jellybeans,мармеладки
self-important,важничающий
charlottesville,Шарлоттсвилль
condenser,конденсатор
lindberg,Линдберг
ménage,ménage
shephard,Шеппард
redesigned,переработан
orkney,Оркнейские
kalyan,Калян
quietest,бесшумные
adaptability,адаптируемость
jut,выступ
saber-toothed,саблезубый
capitán,Capitán
suu,суу
larks,жаворонки
delos,делось
fishnet,рыболовная сеть
nutella,Nutella
downgraded,понижен
altars,алтари
giuliani,Giuliani
belli,белли
hildegard,Хильдегард
coughlin,Кафлин
permanence,неизменность
ﬂy,мошка
betide,постигать
état,переворот
shamar,шамар
